label,CPI,Compute_Density,Mem_Boundness,Stall_Ratio,Branch_MPKI,Vector_Intensity,Clock_Ratio
HighFreq,2120.8502949477,0.0,0.034143803270159,0.81745938125461,0.98410166788265,0.0,0.66667238035464
HighFreq,2134.4722292584,0.0,0.034762166331302,0.81766024051603,0.99043997734511,0.0,0.66666986919748
HighFreq,2177.306893068,0.0,0.03480790333912,0.81890176057325,0.97253107744831,0.0,0.66669305143261
HighFreq,2143.2392123131,0.0,0.03507498514014,0.81674609874242,0.98875222897901,0.0,0.6666465400708
HighFreq,2133.4730357854,0.0,0.035205097570689,0.81929863523451,0.99277464868863,0.0,0.66666816089002
HighFreq,2197.2421783217,0.0,0.034357082797435,0.81779419675244,0.98439326510941,0.0,0.66667090296554
HighFreq,2048.7626230619,0.0,0.034296157082136,0.81764013735418,0.94789060195151,0.0,0.66669132644884
HighFreq,1959.7358871653,0.0,0.034388154233263,0.81847503163767,0.91189619538095,0.0,0.66665636469414
HighFreq,1633.173100625,0.0,0.034244278466128,0.81862333018792,0.73165951701762,0.0,0.66668250492487
HighFreq,1441.7857930997,0.0,0.034520541625337,0.81679296780649,0.66511345374578,0.0,0.66667086294578
HighFreq,1157.266920652,0.0,0.033493347159022,0.8191024744561,0.52617853963081,0.0,0.66668120586721
HighFreq,955.8419782256,0.0,0.03360592748919,0.81808088411127,0.43584479337516,0.0,0.66667640949212
HighFreq,808.53788083768,0.0,0.03338080048811,0.81767533090705,0.37621582930797,0.0,0.66668154368724
